,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
56,315.0,2.34567,2.24866,2.16936,2.05775,1.86921,1.80951,0.617476,0.627387,0.624389,0.618784,0.602848,0.608031
57,337.0,2.51172,2.40066,2.32507,2.21696,1.97888,1.98514,0.669272,0.66294,0.656281,0.653809,0.64706,0.64973
58,362.0,2.69849,2.65365,2.49912,2.32957,2.15177,2.12341,0.703989,0.713,0.707393,0.72015,0.691003,0.693063
59,388.0,2.88748,2.77387,2.72182,2.54667,2.24452,2.27996,0.760718,0.762333,0.765276,0.749667,0.748104,0.743446
60,415.0,3.08099,3.03425,2.95739,2.67711,2.38175,2.43401,0.805958,0.822735,0.824259,0.816035,0.801027,0.787162
61,445.0,3.33242,3.25068,3.13731,2.91999,2.59184,2.53753,0.881931,0.879637,0.871795,0.859956,0.852057,0.855664
62,477.0,3.54287,3.52011,3.29704,3.11748,2.88093,2.76402,0.941312,0.937914,0.941238,0.92421,0.911636,0.904734
63,512.0,3.77059,3.61609,3.59716,3.34221,2.98043,3.04531,1.01285,0.995332,1.0144,0.987893,0.976171,0.975622
64,548.0,4.08938,3.94915,3.82246,3.55828,3.28832,3.24721,1.07694,1.08651,1.08899,1.04999,1.04207,1.04168
65,588.0,4.39209,4.21219,4.15494,3.89709,3.43856,3.38387,1.12159,1.15182,1.1469,1.14707,1.1146,1.12751
66,630.0,4.58774,4.61693,4.38766,4.00202,3.76895,3.70493,1.2269,1.24374,1.24823,1.22101,1.21755,1.19476
67,675.0,4.88709,4.9487,4.62336,4.33726,3.95534,3.96735,1.30756,1.32581,1.32406,1.30291,1.28392,1.28189
68,724.0,5.36177,5.13929,4.99596,4.60649,4.27271,4.22916,1.42713,1.4175,1.42634,1.39264,1.39407,1.37217
69,776.0,5.575,5.51951,5.16357,5.05114,4.58953,4.41093,1.52942,1.53168,1.53868,1.4937,1.47082,1.48104
70,831.0,6.0766,6.07878,5.50691,5.28358,4.71121,4.73138,1.57792,1.65011,1.63248,1.60876,1.60495,1.5859
71,891.0,6.47708,6.39225,6.01689,5.73019,5.14304,5.03869,1.73954,1.77409,1.73802,1.73624,1.69924,1.70629
72,955.0,7.03589,6.86532,6.49266,6.26134,5.47971,5.45527,1.87588,1.89509,1.86211,1.85002,1.81298,1.82589
73,1024.0,7.6407,7.47013,6.8262,6.52476,6.10571,5.9666,1.97514,2.03005,1.99831,1.98588,1.9451,1.95589
74,1097.0,7.74304,7.40207,7.1401,6.78443,6.15305,6.2037,2.17696,2.15537,2.19859,2.1274,2.06995,2.11239
75,1176.0,8.3193,8.3378,7.49528,7.49191,6.51318,6.59868,2.21343,2.31895,2.29904,2.24881,2.25224,2.24041
76,1260.0,9.08255,8.6544,8.11712,7.7568,7.2327,7.02273,2.42139,2.43082,2.40233,2.47399,2.3383,2.4467
