,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
155,301124.0,15304.7,7187.18,3833.36,1810.1,958.563,870.065,770.683,14129.3,7675.63,3848.63,1935.64,973.116,943.95,944.208
156,322737.0,15384.1,7694.9,3851.81,1926.09,963.035,932.396,823.766,14560.8,7325.73,3833.43,1944.4,975.144,944.139,944.467
157,345901.0,14515.0,6989.57,3670.06,1635.36,786.551,762.466,782.931,15118.6,7623.9,3823.6,1938.43,974.9,944.401,944.516
158,370727.0,14152.9,7009.85,3726.27,1678.9,835.537,786.247,763.686,14881.2,7551.26,3847.58,1939.06,973.856,944.801,944.68
159,397336.0,14279.1,7224.0,3652.87,1725.84,874.362,827.697,790.586,14370.3,7559.66,3895.88,1948.13,975.225,944.699,944.874
160,425854.0,14450.5,7180.02,3782.75,1783.77,896.073,852.333,814.321,14671.6,7753.16,3877.45,1944.23,974.75,945.576,944.873
161,456419.0,14646.7,7261.69,3773.28,1895.08,947.484,917.388,759.134,14984.4,7589.44,3879.04,1945.6,975.251,945.453,945.015
162,489178.0,15531.5,7768.02,3892.15,1946.12,973.079,942.167,749.099,15582.8,7792.88,3897.11,1948.75,975.973,945.206,945.123
163,524288.0,14501.8,7202.86,3694.85,1744.57,851.565,821.709,786.136,14477.3,7617.38,3863.41,1944.01,975.474,945.377,945.271
164,561917.0,14308.6,7225.57,3778.75,1788.78,894.403,851.819,809.179,15107.9,7600.82,3860.17,1948.44,976.136,945.251,945.361
165,602248.0,14604.6,7233.37,3771.09,1855.31,949.239,898.179,822.57,15352.4,7696.83,3873.25,1945.14,976.427,945.692,945.446
166,645474.0,15383.0,7696.98,3851.9,1926.02,963.0,932.46,829.898,14759.9,7648.73,3888.72,1951.12,976.858,945.547,945.39
167,691802.0,14613.8,7753.27,3885.43,1949.42,976.926,943.673,848.027,15226.7,7641.62,3875.54,1950.21,976.951,945.5,945.652
168,741455.0,14709.3,7452.95,3827.16,1952.95,976.5,946.178,845.347,15179.7,7700.1,3876.75,1948.16,976.865,945.688,945.634
169,794672.0,15165.2,7653.13,3849.77,1952.03,976.232,944.342,863.936,15119.4,7791.16,3896.23,1951.47,976.88,945.968,945.687
170,851708.0,14651.8,7565.15,3895.39,1948.12,971.673,944.918,828.456,15506.4,7754.74,3891.83,1950.39,978.118,945.919,945.8
171,912838.0,14893.2,7522.49,3871.87,1953.14,973.788,945.019,810.536,15145.6,7757.29,3891.15,1950.59,977.953,945.977,945.804
172,978356.0,15548.3,7777.33,3892.53,1948.53,975.753,944.369,835.164,15584.5,7793.75,3897.66,1952.75,977.27,946.005,945.879
173,1048576.0,15111.8,7761.1,3906.98,1936.54,974.134,946.223,841.847,15205.2,7741.44,3888.03,1950.96,977.58,945.98,945.982
