,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32
67,675.0,3.91626,4.11689,3.84212,3.72001,3.4546,3.39066,1.14406,1.14527,1.13463,1.12847,1.1115,1.1089
68,724.0,4.60215,4.38866,3.99432,3.77705,3.66226,3.47039,1.22979,1.22269,1.2143,1.21058,1.19338,1.14847
69,776.0,4.56336,4.765,3.96022,4.20822,4.01593,3.79643,1.31198,1.28609,1.30333,1.29705,1.27959,1.26905
70,831.0,5.23845,5.00752,4.51813,4.48026,4.15615,4.16292,1.40327,1.40451,1.40317,1.38778,1.37129,1.37911
71,891.0,5.4052,5.39473,5.24897,4.98319,4.53382,4.43408,1.50972,1.51163,1.4589,1.44997,1.47608,1.42656
72,955.0,5.98753,5.28506,5.6005,5.18789,4.88846,4.82798,1.57516,1.61823,1.60653,1.58628,1.53536,1.57207
73,1024.0,6.29815,6.18069,6.14622,5.37817,5.08291,5.27556,1.68631,1.66514,1.72671,1.70814,1.68679,1.62757
74,1097.0,6.4202,6.23976,4.88701,5.75062,5.49293,5.49708,1.83884,1.84459,1.84199,1.83025,1.7851,1.78466
75,1176.0,6.83197,6.75991,6.749,6.13855,5.79655,5.59817,1.98705,1.98502,1.94563,1.95895,1.94099,1.58758
76,1260.0,7.2879,7.44868,5.98751,6.56671,6.26336,6.26881,2.11861,2.10994,2.122,2.08159,2.06006,2.03362
77,1351.0,7.71917,7.97309,7.70951,7.27535,6.74383,6.5327,2.28451,2.27112,2.24232,2.25332,2.21524,2.22062
78,1448.0,8.58904,8.2439,8.05325,7.50218,7.30937,7.19968,2.43572,2.43667,2.41023,2.41345,2.3639,2.35922
79,1552.0,9.15354,5.71464,8.47089,8.09699,7.52581,7.44733,2.586,2.58444,2.61498,2.4568,2.48379,2.556
80,1663.0,9.63283,9.8508,9.34404,8.98703,8.10046,8.05868,2.80062,2.78549,2.79005,2.77919,2.73779,2.72177
81,1782.0,10.7625,10.6581,10.1661,9.27935,8.72161,8.83124,3.00733,3.00023,2.85531,2.89835,2.92803,2.91907
82,1910.0,11.0029,11.0841,10.8859,9.9148,9.32862,9.45004,3.22591,3.21754,3.20951,3.17516,3.14631,3.1581
83,2048.0,12.4814,11.6267,11.1506,10.9402,10.3156,10.2645,3.46915,3.41849,3.43417,3.38516,3.29674,3.37698
84,2194.0,13.0816,12.6626,12.5049,11.7773,10.914,10.9191,3.69167,3.68406,3.66112,3.60714,2.96545,3.56827
85,2352.0,13.7098,13.9673,12.7753,12.214,11.6636,11.2127,3.19725,3.93538,3.97457,3.89199,3.87333,3.8273
86,2521.0,9.12916,14.765,13.6756,13.639,12.3605,11.9152,4.24641,4.25718,3.46611,4.16646,4.14241,4.1365
87,2702.0,15.8775,15.486,14.8968,14.1647,13.4106,13.0638,4.54975,4.53244,4.55143,4.42802,4.47547,4.40852
88,2896.0,17.1883,17.1475,16.7373,15.3064,13.9755,14.2288,4.87195,4.85155,4.8206,4.76272,4.72596,4.72582
89,3104.0,17.7276,17.7562,16.7381,15.8446,15.4225,15.2077,5.28895,5.18347,5.18765,4.24821,5.08834,5.07017
90,3326.0,19.3922,19.1773,18.8172,17.1799,16.0071,16.2257,5.62098,5.5938,5.53303,5.47756,5.41501,4.57826
91,3565.0,20.7751,20.8048,19.1974,18.3645,17.4824,17.0295,5.96879,5.88372,5.92013,5.86814,5.7853,5.89103
92,3821.0,23.0981,21.8664,20.2893,20.2718,18.8106,18.316,6.33735,6.40782,6.3956,6.25753,6.24786,6.22993
93,4096.0,23.7871,23.7974,23.2394,21.7611,19.4254,19.1636,6.93381,6.8721,6.79104,6.76968,6.69642,5.36033
94,4389.0,25.3055,24.9346,24.7226,22.3668,21.6015,20.6148,7.31962,7.37097,7.00609,5.97108,7.18331,7.16569
95,4705.0,27.3676,27.3208,24.9858,24.4937,22.1642,21.2214,7.90623,7.81731,7.83508,7.61502,7.71489,7.7095
96,5042.0,29.9407,29.3,28.563,26.9276,25.0345,24.9091,7.05078,8.40443,8.38857,8.17355,8.15112,8.25594
97,5404.0,31.816,31.0344,28.4377,27.5059,25.8243,25.8947,9.11064,9.04618,8.92815,7.2485,8.7758,8.4229
98,5792.0,33.6326,33.7864,32.4083,30.7286,27.6593,27.6065,9.93181,9.61745,9.56512,9.47915,9.24244,9.49142
99,6208.0,36.151,34.8078,27.3493,32.688,30.7094,29.3997,10.3232,10.3268,10.3425,10.2045,10.0865,10.0599
100,6653.0,37.4225,37.3582,35.8564,34.2209,32.3554,31.7397,11.1266,11.2424,11.09,10.8589,9.00093,10.755
101,7131.0,42.0331,41.5728,37.4616,37.8349,34.7425,34.467,11.9037,11.9607,11.9104,11.7153,11.6268,11.5813
102,7643.0,44.0527,44.8837,42.4855,40.2585,37.3143,35.6354,12.8129,12.7318,12.7701,12.5546,12.4883,10.2786
103,8192.0,48.1042,47.6331,43.9801,42.976,40.7713,31.0421,13.8717,13.0093,13.653,13.5621,13.3317,13.3185
104,8779.0,51.242,50.8703,48.6292,46.1784,41.3253,41.0159,14.6631,14.4911,14.5953,14.5252,14.2663,14.3502
105,9410.0,53.2136,54.4594,49.8703,49.3366,43.9613,43.1955,15.5397,13.0046,15.416,15.4591,15.252,15.1414
106,10085.0,58.3469,55.7128,52.8583,52.6869,49.217,46.7645,16.7279,16.7589,16.6572,16.4674,16.3308,16.1288
107,10809.0,63.93,62.6103,58.5457,56.8526,34.984,52.159,18.0809,17.9514,17.7577,17.8426,17.3749,17.4325
108,11585.0,66.1764,67.6378,62.7212,56.9517,56.6585,55.6179,19.1877,19.3876,18.9808,18.7659,18.6116,18.7163
109,12416.0,72.8489,69.4621,66.7765,64.2552,58.992,59.4714,19.8769,20.6098,20.1869,20.2836,19.9254,19.9328
110,13307.0,77.6207,76.2393,69.6565,69.1623,64.6823,60.5085,21.8656,18.4281,21.8023,18.0025,21.3489,21.129
111,14263.0,83.8615,52.9699,77.0421,74.0034,66.3424,63.0163,23.4777,23.3571,23.3751,22.9917,22.2524,22.0501
112,15286.0,87.0498,84.1361,83.2353,76.3732,71.8542,65.9629,25.2189,25.1099,24.7861,24.2437,23.6355,23.4568
113,16384.0,96.0354,89.9133,58.0405,79.938,76.5154,66.5823,21.9131,27.0619,22.5875,26.208,25.4798,25.237
114,17559.0,101.591,98.3212,93.9841,89.4336,80.9026,81.4312,29.4557,28.6594,28.2232,27.6786,27.1207,26.9473
115,18820.0,109.55,102.294,99.3448,90.4226,89.2517,84.2643,31.2169,30.4848,30.2309,29.8626,28.9198,29.0934
116,20171.0,111.373,108.204,104.773,100.698,94.295,92.4467,33.2328,33.0226,27.3513,30.7767,31.0858,30.7802
117,21618.0,119.636,117.083,113.788,106.398,96.9414,97.7209,35.9371,35.3364,34.8084,34.0456,33.0559,33.4728
118,23170.0,133.963,129.621,120.829,115.062,107.948,106.962,38.1168,31.3866,37.4653,36.2556,35.688,35.6691
119,24833.0,134.032,130.831,122.327,122.161,109.076,108.61,40.8156,40.3882,39.6484,39.5137,38.048,37.8573
120,26615.0,146.009,141.437,130.621,129.527,116.033,112.284,43.8655,43.1502,42.1806,40.2428,40.8831,40.8866
121,28526.0,160.899,155.113,140.984,130.03,110.687,109.7,46.8767,46.6506,45.6218,44.6365,43.056,42.6557
