,size,cuda-1,cuda-2,cuda-4,cuda-8,cuda-16,cuda-32,cuda-64,omp-target-1,omp-target-2,omp-target-4,omp-target-8,omp-target-16,omp-target-32,omp-target-64
27,42.0,28.9077,28.9078,28.798,14.4311,9.60355,4.80535,2.62052,28.4453,28.4524,28.248,28.4466,28.4477,28.4434,28.4456
28,45.0,30.9716,30.9715,30.8551,15.4617,10.2894,5.14531,2.57369,30.4853,30.4847,30.4768,30.4759,30.4759,30.4773,30.4768
29,48.0,33.0364,33.0373,32.9589,16.4927,10.9755,5.48835,2.74439,32.5191,32.5165,32.5104,32.5079,32.512,32.5088,32.5099
30,51.0,35.1023,35.1012,34.9687,17.5235,8.7553,5.0011,2.69163,34.5478,34.5452,34.5384,34.5431,34.5421,34.5409,34.5372
31,55.0,37.8557,37.8538,37.7117,18.8618,9.4416,5.39044,2.69541,37.2574,37.2558,37.2525,37.2488,37.2443,37.2479,37.2538
32,59.0,40.6071,40.6085,40.4526,20.2562,10.1185,5.06214,2.69866,39.9665,39.9686,39.9608,39.9591,39.9588,39.956,39.9549
33,64.0,44.0492,44.0488,43.8809,21.9482,10.9836,5.48853,2.74441,43.3576,43.3583,43.3479,43.345,43.3491,43.3487,43.3495
34,68.0,46.8016,46.6252,23.3648,15.5683,9.34236,5.18582,2.74443,46.0624,46.056,46.0598,46.052,46.0568,46.0551,46.0557
35,73.0,50.245,50.0535,25.0827,16.7128,10.0288,5.01025,2.63663,49.4571,49.437,49.4458,49.4326,49.4385,49.4396,49.4432
36,78.0,53.6863,53.4798,26.8009,17.8576,10.7077,5.35138,2.67635,52.841,52.8279,52.8236,52.8204,52.826,52.8276,52.8304
37,84.0,57.8135,57.596,28.8625,19.2071,9.61493,5.24097,2.74446,56.9118,56.8899,56.8918,56.894,56.8939,56.8924,56.8947
38,90.0,61.9428,61.7076,30.9239,20.5788,10.2952,5.14723,2.68524,60.9709,60.2467,60.9484,60.9615,60.9503,60.9477,60.9536
39,97.0,66.7634,66.507,33.3284,16.6513,9.51543,5.12074,2.66253,65.7111,65.7005,65.6957,65.6953,65.7005,65.7033,65.6973
40,103.0,70.8905,70.6235,35.3352,17.6815,10.104,5.4359,2.71804,69.7771,69.7613,69.7617,69.7544,69.7599,69.7531,69.7544
41,111.0,76.3998,76.1063,38.0727,19.0547,10.8829,5.4397,2.71997,75.1963,75.1709,75.1782,75.1654,75.1841,75.1814,75.1771
